zip,commissions_total,commissions_active
77611,199,180
75233,199,162
75785,196,173
76230,195,174
75647,195,167
75173,193,170
75835,193,161
78739,192,169
78264,191,166
75185,191,163
79556,190,169
78387,189,175
77013,188,161
78404,187,161
75783,187,161
77954,186,166
79403,185,165
78756,184,160
75803,183,172
76384,181,156
76354,181,148
77565,180,157
77964,179,159
75979,179,151
78957,177,155
77708,177,153
77514,176,149
75654,175,161
79382,174,157
78732,173,152
79022,172,151
77625,172,160
77078,172,138
76155,172,146
75494,172,148
76258,172,158
77554,171,142
75758,171,154
77362,170,145
77563,170,150
75650,170,150
78934,169,157
77486,169,150
76657,169,147
75462,168,147
76073,168,152
76023,168,145
78256,167,140
76567,167,149
75125,166,154
78362,166,141
77331,165,145
77562,165,137
79108,164,146
77864,164,147
78639,164,150
76667,164,148
79922,164,136
79007,163,146
78016,163,141
78336,163,140
75840,162,143
78643,162,141
75076,162,133
78065,161,145
75645,161,148
76520,160,143
76367,159,136
78606,159,142
78124,159,133
75161,158,144
75158,158,129
76306,157,131
79070,157,143
78416,156,135
76442,156,133
77422,154,141
76448,153,138
78605,152,130
77012,152,133
79107,152,134
79510,151,133
76692,151,128
75226,151,132
77856,150,136
76043,150,139
78725,150,126
78026,150,131
79415,150,130
75704,149,124
78063,149,129
76259,149,131
78408,148,131
79316,148,125
78101,148,127
77612,148,132
77957,147,128
75789,147,130
78073,146,124
76905,145,129
79102,145,130
78721,145,124
75657,145,129
76050,143,128
78657,142,129
78266,142,120
75223,142,125
78557,142,126
76642,142,124
75551,141,122
78736,141,126
78559,141,126
75693,141,116
78052,141,120
75862,139,121
78405,138,116
79766,138,126
76458,138,118
78580,138,123
75570,136,121
75752,136,121
78112,135,121
76559,135,118
77995,135,122
77665,134,114
76424,134,118
76309,133,116
76634,132,115
75440,132,116
77371,132,114
75457,132,116
78584,131,115
78648,131,114
78061,131,115
75949,131,115
77480,130,110
76539,128,108
78152,127,116
78616,127,116
78652,126,113
79412,125,106
77547,125,101
75021,124,111
79830,124,110
76691,123,106
79404,122,102
75765,122,108
75956,122,105
78263,121,104
76707,121,100
76446,121,110
75140,120,102
76802,119,99
75763,118,106
76579,117,108
77703,116,105
75124,116,94
78636,116,106
77358,116,97
77659,115,99
79364,115,95
78711,113,94
79410,113,87
75941,112,97
75706,112,101
78368,112,100
77859,111,99
75459,110,93
78733,110,98
78225,110,93
76557,109,94
78538,109,103
76825,109,93
77517,109,92
78578,109,97
75640,109,97
77518,108,97
75452,108,90
75428,107,94
79121,107,95
76005,107,92
75491,107,98
77360,106,96
77702,106,87
79323,106,96
79702,106,86
79409,105,86
75152,105,93
75638,105,92
79363,105,93
75754,105,92
75833,105,97
76255,104,82
78373,104,88
75709,104,90
78576,103,90
76527,103,87
75109,101,94
76272,101,88
78377,101,80
79835,100,87
78025,100,90
77830,100,87
79536,100,89
79512,100,86
77435,99,91
76633,98,89
76856,97,90
78834,96,82
79339,96,87
75058,96,85
75790,95,82
75424,95,84
75172,95,82
76531,94,80
75141,94,83
78002,94,85
78076,94,82
78767,94,83
75603,94,81
79745,93,81
78059,93,73
77879,93,83
75684,93,86
78619,92,78
77592,92,79
76711,92,79
77984,92,78
79103,92,76
75860,92,80
75972,91,76
75948,91,80
78962,90,81
79347,90,82
77485,90,75
77801,90,79
76365,90,81
75756,89,72
77871,89,78
78202,89,76
75656,88,75
76834,88,75
76821,88,80
77861,88,76
77465,88,78
78575,87,74
79501,87,80
78502,87,79
76487,87,77
76849,87,77
77363,87,80
77963,87,76
75708,87,78
78022,87,79
79088,86,72
79014,86,80
76462,86,77
79521,86,77
76233,86,72
78947,85,76
78013,85,73
79782,85,73
76066,85,64
76943,84,77
79911,84,76
75831,83,73
78118,82,69
75210,82,74
79562,82,68
77001,81,69
78956,81,69
76071,81,74
75410,81,73
75117,81,71
77704,81,78
78708,80,70
79201,79,72
78119,79,68
79356,79,67
78160,79,67
76877,79,66
79068,79,70
75755,79,73
76437,78,69
76844,77,68
75563,77,69
79408,76,65
76661,76,69
75839,76,70
78722,75,62
75561,75,61
75148,75,65
79105,75,70
78390,74,66
75792,74,53
77050,74,62
79838,74,69
78014,74,65
79821,73,66
79504,73,65
78656,73,64
76544,72,58
78069,72,63
76476,72,64
79836,72,65
78543,71,65
78417,71,58
75845,71,60
79758,71,59
78355,70,63
76689,70,60
78372,70,62
75091,70,64
75691,70,64
78659,70,60
75490,70,63
75497,70,59
76431,70,64
76093,70,66
78597,69,55
78839,69,57
75496,69,55
75390,69,61
79849,68,61
76651,68,60
79027,68,57
75261,68,57
76225,68,60
79731,68,60
75246,68,61
77434,67,57
78832,67,60
75966,67,58
78627,67,55
79373,67,62
79329,66,61
76374,66,55
79553,66,58
78370,66,59
75692,66,59
78583,66,57
75969,65,59
76380,65,59
79081,65,60
75844,65,55
76577,65,60
78714,65,60
78343,65,58
76704,64,52
75939,64,56
