city,commissions_total,commissions_active,commissions_expired
Ft Worth,169,149,20
West Columbia,168,150,18
Boyd,168,145,23
Pilot Point,168,156,12
Paradise,168,152,16
Trophy Club,167,149,18
Aransas Pass,167,142,25
Rockdale,167,150,17
Highlands,165,137,28
Fairfield,165,146,19
Ingleside,165,140,25
Kingsland,164,150,14
Mexia,164,148,16
Sugarland,164,151,13
Kemah,162,138,24
Madisonville,162,146,16
Devine,161,139,22
Coldspring,161,143,17
Cameron,160,143,17
Ferris,160,148,12
Pottsboro,159,131,28
Blanco,159,142,17
Poteet,159,143,16
Iowa Park,158,135,23
Gun Barrel City,158,139,19
Mont Belvieu,158,143,15
Perryton,158,144,14
Alpine,158,140,18
Scurry,157,128,29
Marion,155,130,25
Comanche,155,132,23
Whitney,155,132,23
Llano,154,137,17
Brazoria,153,140,13
Eastland,152,137,15
Bertram,152,130,22
Franklin,149,135,14
Nevada,149,129,20
Ponder,149,131,18
Clyde,149,132,17
Glen Rose,149,138,11
Edna,148,129,19
Brownfield,148,125,23
Jourdanton,148,127,21
Adkins,147,127,20
Buna,147,131,16
Richland Hills,145,128,17
Jefferson,145,129,16
White Oak,143,118,25
Hidalgo,143,127,16
Troup,143,126,17
Hitchcock,142,128,14
Grandview,142,127,15
Von Ormy,142,120,22
Groesbeck,142,124,18
Lytle,140,120,20
Raymondville,140,125,15
La Feria,139,124,15
Trinity,138,120,18
Atlanta,138,120,18
Jacksboro,137,118,19
New Boston,137,122,15
Breckenridge,135,118,17
Willow Park,134,115,19
Nolanville,134,117,17
Winnie,134,114,20
Clifton,133,116,17
Early,133,111,22
Pearsall,132,116,16
Yoakum,132,120,12
Luling,131,114,17
Josephine,131,120,11
Huntington,130,114,16
Emory,130,114,16
Roma,130,114,16
Tx,129,129,0
Shepherd,129,112,17
Sweeny,128,109,19
Kempner,126,106,20
Elmendorf,126,112,14
Fairview,126,107,19
Dale,125,114,11
Forest Hill,123,99,24
Dublin,123,112,11
West,123,106,17
Galena Park,122,98,24
Commerce,121,108,13
Manchaca,121,109,12
Grand Saline,121,103,18
Palmview,120,111,9
Frankston,120,108,12
Kirbyville,120,104,16
Jersey Village,119,100,19
Troy,118,109,9
New Waverly,116,97,19
Lantana,115,93,22
Johnson City,115,105,10
Sour Lake,114,98,16
Oak Point,114,97,17
Eustace,114,92,22
Horseshoe Bay,113,103,10
Slaton,113,93,20
Savannah,111,91,20
Diana,110,98,12
Hearne,110,98,12
Saint Hedwig,110,101,9
Providence Village,109,92,17
Moody,109,94,15
Brady,109,93,16
White Settlement,108,92,16
Ovilla,108,97,11
Bacliff,108,97,11
Mt Pleasant,108,92,16
Leonard,108,90,18
Denver City,108,97,11
Mathis,107,95,11
Onalaska,106,96,10
Shallowater,106,94,12
Palmer,106,93,13
Whitewright,104,95,9
N Richland Hills,104,85,19
Howe,104,87,17
Centerville,104,96,8
Mount Vernon,104,89,15
Ben Wheeler,104,91,13
Nocona,103,81,22
Diboll,103,90,13
Port Aransas,102,86,16
Refugio,101,80,21
Merkel,101,90,11
Daingerfield,101,88,13
Ingram,100,90,10
Lucas,100,88,12
Iowa Colony,100,91,9
Anderson,100,87,13
Penitas,99,85,14
Colorado City,99,85,14
Wilmer,98,85,13
China Spring,98,89,9
Valley View,98,85,13
East Bernard,97,89,8
Mason,96,89,7
Littlefield,96,86,10
Fair Oaks Ranch,95,83,12
Blue Ridge,94,83,11
Driftwood,94,80,14
Hamilton,94,80,14
Hutchins,94,83,11
Gunter,94,84,10
Kermit,93,81,12
Somerville,93,84,9
Carrizo Springs,93,81,12
Zapata,93,81,12
Van,93,80,13
Canutillo,92,83,9
Shiner,92,78,14
Natalia,92,72,20
Overton,92,85,7
San Augustine,91,76,15
Muleshoe,91,83,8
Hawkins,91,80,11
Hickory Creek,91,81,10
River Oaks,91,82,9
Shenandoah,91,84,7
Teague,91,78,13
Weimar,91,82,9
Atascosa,90,84,6
Hemphill,90,79,11
Wallis,90,75,15
Haskell,89,80,9
Junction,88,78,10
Mcgregor,88,78,10
Ballinger,88,80,8
Henrietta,88,79,9
Brownsboro,87,71,16
Plantersville,87,79,8
Millsap,87,66,21
Goliad,87,76,11
Anson,87,80,7
Coleman,87,74,13
Collinsville,87,73,14
Palacios,87,77,10
Canadian,86,80,6
Hughes Springs,86,74,12
Lipan,86,78,8
George West,86,78,8
Iola,86,75,11
Lexington,85,75,10
Pipe Creek,85,71,14
Hudson Oaks,85,79,6
Stanton,85,73,12
Ozona,85,78,7
Tulia,84,70,14
Buffalo,84,74,10
Poolville,83,74,9
Windcrest,83,79,4
Comfort,83,72,11
Crossroads,83,67,16
Tuscola,82,68,14
Big Sandy,82,75,7
Karnes City,81,68,13
Edgewood,81,71,10
Edcouch,81,76,5
Westlake Hills,81,76,5
Schulenburg,80,67,13
Mc Gregor,80,68,12
Alba,80,72,8
Newark,80,72,8
Childress,80,73,7
Kenedy,79,67,12
Cisco,79,69,10
Linden,79,71,8
San Saba,79,66,13
Post,79,67,12
Stockdale,78,67,11
Elkhart,78,72,6
Panhandle,78,69,9
Goldthwaite,77,67,10
Fabens,76,71,5
Taft,76,68,8
West Lake Hills,76,62,14
Winona,75,53,22
Hooks,75,61,14
Marlin,75,68,7
Cotulla,74,65,9
Malakoff,74,64,10
Tolar,73,65,8
Somerset,73,64,9
Baird,73,65,8
Bee Cave,73,67,6
Yantis,72,61,11
Crystal City,72,59,13
Chico,71,65,6
Trenton,71,63,8
Meadows Place,71,66,5
Tatum,71,65,6
Groveton,71,60,11
Orange Grove,70,62,8
Falfurrias,70,63,7
Gardendale,70,59,11
Paige,70,60,10
Valley Mills,70,60,10
Lake Worth,70,61,9
Clint,70,63,7
Pantego,70,60,10
Wolfe City,69,54,15
Maxwell,69,61,8
Elsa,69,63,6
Newton,68,58,10
Tahoka,68,63,5
Dimmitt,68,57,11
Crane,68,60,8
Normangee,67,57,10
Idalou,67,62,5
Eagle Lake,67,57,10
Olney,67,56,11
Rio Vista,66,62,4
Danbury,66,62,4
Brackettville,66,60,6
Odem,66,59,7
Waskom,66,59,7
South Padre Island,66,53,13
Thorndale,65,60,5
Pollok,65,59,6
Bishop,65,58,7
Rio Hondo,65,57,8
Richwood,65,58,7
Stamford,65,57,8
San Elizario,65,58,7
Alvord,65,58,7
Italy,64,56,8
Riesel,64,59,5
Spearman,64,59,5
Port Isabel,64,56,8
Corrigan,64,56,8
Grapeland,64,54,10
Seymour,64,58,6
Albany,63,59,4
Parker,62,53,9
Everman,62,56,6
Kerens,62,56,6
Wake Village,62,57,5
Lakehills,62,56,6
Granite Shoals,61,55,6
San Leon,61,52,9
Meridian,61,53,8
Lone Oak,60,54,6
San Diego,59,51,8
Clarksville,59,53,6
Keene,59,53,6
Beasley,59,51,8
Arp,58,47,11
Bedias,58,50,8
Cumby,58,53,5
Celeste,58,53,5
Hawley,57,50,7
Cooper,57,49,8
Hico,56,55,1
Tool,56,47,9
Abernathy,56,53,3
Friona,56,50,6
Anthony,55,50,5
Harper,55,50,5
De Leon,55,52,3
Murchison,55,48,7
Itasca,55,48,7
Fritch,55,48,7
La Joya,55,46,9
Winters,55,47,8
Blossom,55,53,2
Lovelady,55,50,5
Muenster,55,51,4
Klein,54,50,4
Nash,54,48,6
Olmito,54,47,7
Ganado,54,45,8
Archer City,54,48,6
Chappell Hill,54,47,7
Naples,54,49,5
Quanah,54,47,7
Sonora,54,48,6
Three Rivers,53,48,5
Bells,53,47,6
Big Lake,53,48,5
Larue,52,45,7
Eddy,52,47,5
Timpson,52,47,5
Palmhurst,52,40,12
Streetman,52,46,6
Clarendon,52,46,6
Corp Christi,52,51,1
Axtell,51,47,4
Inez,51,48,3
Wellington,51,42,9
Omaha,51,43,8
Yorktown,51,47,4
Leakey,51,51,0
Garden Ridge,51,42,9
Alto,50,43,7
Warren,50,43,7
Harleton,50,46,4
Ore City,50,45,5
Sandia,50,46,4
Graford,50,47,3
Westlake,49,40,9
