city,dealers_total,dealers_active
Rusk,4,4
SEYMOUR,4,4
Haskell,4,4
Woodville,4,4
FLOWER MOUND,4,4
Chappell Hill,4,4
Hamilton,4,4
Rocksprings,4,4
CELESTE,4,4
Bellmead,4,4
DWG,4,4
Sour Lake,4,4
Kirbyville,3,3
Groves,3,3
ANNA,3,3
Highlands,3,0
RIO VISTA,3,3
Anderson,3,3
Richland Hills,3,3
Crosbyton,3,3
Troy,3,3
Lone Star,3,3
NAPLES,3,3
Franklin,3,3
Trinidad,3,3
Murphy,3,3
Blue Ridge,3,3
ONALASKA,3,3
GOLIAD,3,3
Hughes Springs,3,3
Howe,3,3
MOUNT VERNON,3,3
Bruceville,3,3
Wallisville,3,3
Perrin,3,3
Comfort,3,2
Monahans,3,3
Joaquin,3,3
NORMANGEE,3,3
EVERMAN,3,3
West Tawakoni,3,2
Natalia,3,3
POINT,3,3
BOGATA,3,3
Elkhart,3,3
RAINBOW,3,3
Rotan,3,3
BLANCO,3,3
FLOYDADA,3,3
De Leon,3,3
Olmito,3,3
HONEY GROVE,3,3
MALAKOFF,3,3
POTH,3,3
SMITHVILLE,3,3
Eustace,3,3
BEACH CITY,3,3
DODD CITY,3,3
Universal City,3,3
Clifton,3,3
Lott,3,3
Pollok,3,3
WEST ORANGE,3,3
IDALOU,3,3
PAIGE,3,3
YANTIS,3,3
Corrigan,3,3
OLTON,3,3
Childress,3,3
Deer Park,3,3
Three Rivers,3,3
WALNUT SPRINGS,3,2
Winnie,3,3
DE KALB,3,3
Horizon City,3,3
WIMBERLEY,3,3
Monte Alto,3,3
